Title,Location,Company,Summary
부정행위 탐지를 위한 분석 전문가 모집,성남 판교역,엔씨소프트,활용 가능 우대사항 - 게임 LOG를 활용한 데이터 분석 및 부정사용자 탐지 업무 실무 경험 - R 또는 Python을 통한 통계 및 분석 능력 제출서류 필수 제출서류 없음 전형단계 서류전형 1차 면접 NC TEST 2차...
Software Architecture 설계 엔지니어,성남 분당구,딥엑스,경험 - Windows/Linux 상에서 C++/ Python 언어 사용 개발 경험 - C++ / Python 언어 사용 개발 경험 - 객체지향 설계에... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
[데이터센터] (경력/신입) 카카오 데이터센터 Data Scientist...,성남 판교역,카카오,"않고, 기술이 비즈니스 가치로 변모할 수 있는 그 가능성에 집중합니다. 지원자격 필수사항 Go, Python, Scala, Java, C/C++ 중 하나 이상의 언어에 능숙하신 분 SQL 또는 HiveQL에 능숙하신..."
"NAVER, LINE 서비스 플랫폼 운영",성남 삼평동,NIT Service,"유하신 분 - 프로그래밍 언어( python, java, c언어 등) 초급... System, WEB/WAS, DB운영 경험 - 프로그래밍 언어( python, java, c언어 등) 중급 이상 - 국가보훈대상자 및 장애인은..."
정보전략 담당자 모집,서울 구로구,넷마블,분 - 시스템 개발 또는 IT PM/PL 경력 3년 이상 보유하신 분 - Spring(혹은 .NET)과 Python 프로그래밍 능력을 보유하신 분 - 전략적 사고 역량을 보유하신 분 우대사항 - 관련분야 석/박사 학위 소유자...
데이터 엔지니어,서울,RIDI Corp,"에서의 데이터 파이프라인 구축 및 운영 경험 GA, Tableau 등 외부 분석/시각화 도구에 대한 지식 Python, Java, Scala 중 하나 이상을 이용한 개발 경험 추가 정보 지원 서류 안내 제출서류 : 이력..."
금융 AI 기술 연구 개발자 모집,성남 판교역,엔씨소프트,"및 연구/문제 해결 능력 - Python 언어에 능숙하신 분 2. 해당직... Recognition, Data/Text Mining 경험 보유 - Python, SQL 활용 우대사항 - AI 관련 전공자 - 금융 도메인에 대한..."
콘텐츠서비스개발- 데이터엔지니어,성남 분당구,Nexon,"ecosystem 에 대한 이해 - Python, Scala 등의 프로그... 경험이나 운영 경험 - 소프트웨어 빌드 및 배포 자동화 경험 - Python 또는 NodeJS를 활용한 시스템 개발 경험 - 프론트엔드 및 웹..."
Design Verification 엔지니어 (딥러닝 하드웨어 프로세서...,성남 분당구,딥엑스,"SoC Design 기능을 디버깅 - Linux Shell, Tcl, Python, Perl 사용 원활 - Linux OS 기반 환경에서 개발 경험... 버깅 - Linux Shell, Tcl, Python, Perl 사용 원활..."
HW/SW 분야 직무 교육 전문강사,서울 강남구,에이치에스글로벌,통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI...
Datacenter Engineer (강원도 춘천 근무),서울,Oracle,"Base Operating System Install • Some experience with Perl, Python, Bash or Java • Core OS Services: ssh, telnet, ftp, nfs..."
Cloud Architect,서울,Oracle,"etc. Shell Script, Python or Java Script... development languages... Java and Python Development and operation experience..."
(주)아이옵스 소프트웨어 개발자,대전 유성구,아이옵스,"트스트랩, 웹개발, C++, C#, python, java 등 1개 이상의... 우대사항] - 자바스크립트, 부트스트랩, 웹개발, C++, C#, python, java 등 1개 이상의 개발환경 능숙자 - Windows..."
[NIT Service] NAVER IDC 서버 운영/관리(춘천),강원도 춘천,엔아이티서비스,"application 운영 경험 - Shell script, python 활용 가능 - 해외 데이터센터 인프라 구축 또는 운영 경험 - 국가보훈대상자... 경험 - Shell script, python 활용 가능 - 해외 데이터센..."
"머신러닝, 데이터분석 외 경력 정규직",서울 강남구,에임즈인터내셔널코리아,"혹은 그에 상응하는 실무 경력 - Python 기반의 머신러닝 프레임워크... SQLAlchemy, OpenCV, pytest -Language: Python, SQL -Github, Yona, Git 0 명 근무조건 고용형태..."
Server Engineer (Engineering Foundation),서울 영등포구,뱅크샐러드,"대한 지식 및 판단을 토대로 뱅크샐러드 적용 가능성 제시 자격 요건 Golang/Java(Kotlin)/ Python 중 하나 이상을 이용한 서비스 설계 및 개발 경험 보유 CS Fundamental (자료 구조, 운영체제..."
2021년 이공계 전문기술 연수사업 취업연계 무료 교육생,대전 동구,우송대학교산학협력단,로그래머>VisualC|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
Cloud Support Engineer - Storage & CDN,서울,Amazon Web Services Korea LLC,"object storage · Experience with scripting (i.e. Bash, Python, PowerShell etc.) · Good understanding of networking protocols..."
Staff Field Applications Engineer,서울,Dolby,"level of programming language skills (C/C++, Java/Android, Python) is required. Excellent written and verbal communication..."
디지털자산(암호화폐) 퀀트 트레이더 (경력),대한민국,네오위즈,"경험이 있는 분 - 또는 운용사 및 증권회사에서 근무한 경력이 있는 분 우대사항 - 프로그래밍 능력( Python, R 등)을 보유하고, 개발해 본 경험이 있는 분 - 컴퓨터공학, 금융공학, 수학, 통계학을 전공한 분..."
"Perception Engineer, Deep Learning - Aut...",서울,NVIDIA,"PyTorch, etc). Strong programming skills in C++... python. Outstanding communication and collaboration skills as we..."
[NAVER Cloud] MySQL 데이터베이스 엔지니어 (DBA) 경력...,서울,네이버,"분 - 새로운 기술이나 New Feature에 대해 관심이 많으신 분 - 기본적인 수준의 프로그래밍 (c, python, golang등)이 가능하신 분 [ 우대사항] - 대규모/대용량 DB 운영환경을 경험하신 분 - 끊임없..."
주식운용본부,서울 여의도역,디지비자산운용,"식운용, 리서치 경험자 - 계량 리서치, 퀀트 모델링 경험자 - 프로그래밍 가능자 (SQL, VBA, R, Python 등) ※ 회사에서 정하는 범위 내에서 수습기간을 적용할 수 있음 ※ 「국가유공자 등 예우 및 지원에 관한..."
머신러닝 엔지니어 모집,성남 판교역,카카오,"델의 성능 검증 및 지속 개선 대규모 로그 데이터 통계 분석을 통한 피쳐 추출 지원자격 #필수사항 Python, Java, C++ 등 언어 중 하나 이상 활용 가능하신 분 TensorFlow/Keras, PyTorch..."
Field Service Engineer,경기도 용인,Nearfield Instruments,"troubleshooting. Preferably to have coding capability (Matlab, Python...etc... data analysis, visualization, and algorithm..."
네이버 파이낸셜 플랫폼 운영,성남 삼평동,NIT Service,"Docker(kubernetes) 및 어플리케이션 배포 전략 지식 보유 - Shell script, python 및 web framework 등 기타 프로그래밍 언어 활용 가능 - 국가보훈대상자 및 장애인은 법령에 의거..."
Senior Applied Scientist,서울,Amazon Web Services Korea LLC,"deep learning (e.g., CNN, RNN, LSTM) · Experience in using Python, R, or other programming language Machine learning (ML..."
(주)동진쎄미켐 2021년 2분기 신입 및 경력사원 new,경기도 화성,동진쎄미켐,인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|전자·기계·기술·화학·연구개발>섬유·화학>고분자|전자...
Senior Support Engineer (APAC),서울,Dataiku,other database or BI technologies) Hands-on experience with Python... RWorking knowledge of various cloud technologies...
Field Application Engineer,경기도 용인,Nearfield Instruments,"troubleshooting. Preferably to have coding capability (Matlab, Python...etc... data analysis, visualization, and algorithm..."
정보보호 컨설팅 전문가 양성 과정,서울,한국정보보호산업협회,로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>ASP.NET|인터넷·IT·통신·모바일·게임>웹프로그래머...
[Janssen] Data Scientist,서울,Johnson & Johnson Family of Companies,"Expertise in one or more programming languages... R, Python or SAS. 7. Knowledge of relational database architecture..."
"Research Intern, 2021",서울,Google,"Algorithmic Foundations of Optimization. Experience with Python, C++ and other general purpose program languages. Preferred..."
[특허톤 참가자격/관련분야 취업연계] 2021년 빅데이터 전문가 양성과정...,서울 서대문구,한국여성과학기술인지원센터,통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임... 데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷...
AI/빅데이터/클라우드 분야 (인재 Pool),서울,LG유플러스,"의미한 인사이트 발굴 - R, Python, SQL 등 Statistics... 등)의 다양한 솔루션을 활용하여 서비스 개발 경험자 2) Java, Python 등 프로그래밍 개발 경험 보유자 3) Container 기반 서비스..."
"데이터 분석 솔루션 기반 웹프로그래머(Java, JSP, Python,... new",서울 송파구,비즈플러그,"하여, Java, JSP, R, Python, 각종 DB 가능자를 우대합니... 우대합니다.- DW등의 설계 경력자 우대합니다.- AI(ML, DL, Python, R 등)에 유능한 분을 우대합니다. 인터넷·IT·통신·모바일·게임..."
데이터 분야 경력,서울,LG CNS,"해가 뛰어난 자 - R, Python, SAS, SQL 등 활용 역량 우대사항(해당 내용 중 1개 이상) - ML/DL 경험 인력 우대 - 관련 분야 석사 이상 학위 소지자 우대 - R, Python등 데이터분석 모델링 경험..."
KDB캐피탈 경력직원,서울 영등포구,KDB캐피탈,웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...
각 분야별 인재 Pool 등록,서울,지투알,"자 - 데이터 분석 툴(Adobe Analytics 또는 Google Analytics) 유경험자 우대 - Python, R, SQL 역량 보유자 우대 - 데이터에 기반한 문제해결 능력 및 통계학적 지식 보유자 우대 - 담당..."
[법무법인(유한)율촌] 로펌 경영정보팀 직원 new,서울 강남구,법무법인율촌`,"최종합격 제출서류 이력서 및 자기소개서 성적증명서 직무/산업 직무별(직종) 응용프로그래머SQL 서버.보안.네트워크.DBMS-SQL, MySQL 인공지능(AI).빅데이터R, Python 산업별(업종) 법무.세무.회계 법무법인"
MI(Market Intelligence)담당 마케팅 전략 경력사원,서울 영등포구,LG전자,"마케팅 전략/방향성 도출 경험 보유 4) 우대 사항 - 통계 분석 및 프로그래밍 언어 역량 보유: R, python, Java, SPSS, Tableau, etc. - 영어 능통 역량: 해외법인과 영어 화상 회의 및 현지..."
[Papago] 파파고 머신러닝(컴퓨터비전) 엔지니어 체험형 인턴,서울,네이버,"enhnacement [자격요건] · (학부/대학원) 컴퓨터비전/신호처리 관련 전공으로 재학 혹은 졸업하신 분 · Python 등의 프로그래밍 언어를 다루실 수 있는 분 · TensorFlow, PyTorch 등의 딥러닝..."
"기술연구소 정규직 연력(Java, Python, 기타)및 개발자 (경력1... new",서울 송파구,파인씨앤아이,"트웨어 개발 및 AI, 통계분석I)- 경력 : Java 개발경험 10년이상-개발언어 : Java, C++, Python, Node 등 [근무시간 및 형태] 주 5일 근무 (오전) 9시 00분~(오후) 6시 00분 주소정근로시..."
[인재풀] 아티스트,서울,Electronic Arts,Maya or 3D Max등의 아트웍 툴 사용 경험 Max script 또는 Mel Script의 사용 경험 C# 또는 Python 언어에 대한 이해 및 활용 능력 아트웍 관련 툴 제작 또는 플러그인 제작 경험
"Field Applications Engineer, Audio",서울,Dolby,"High level or detailed knowledge of SOC design. C/C++, python coding skills. Knowledge of music, audio/video production..."
"Senior Manager, Search and Discovery Int... new",서울,Coupang,"skills Preferred qualifications: Experience in coding ( Python, SQL) Good understanding of e-Commerce service Proactive..."
"빅데이터, 인공지능(AI) 외 신입/경력 인턴",대한민국,스칼라웍스,인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝
Data Analytics SA,서울,Amazon Web Services Korea LLC,"some relevant languages, tools and frameworks (e.g python, Java, R, scala, spark, Kafka, Hadoop ecosystem, presto, Hive..."
Cross Border Ecommerce - Business Intell...,서울,Shopee,business analyst related roles Proficient in SQL and Python Strong analytical skill and sensitivity to data Strong oral...
